name,url,store_id,store_name,size,updated
PriceFull7290027600007-001-020-20260916-030000.gz,https://pricesprodpublic.blob.core.windows.net/pricefull/PriceFull7290027600007-001-020-20260916-030000.gz?sv=2014-02-14&sr=b&sig=RsCL5nkN12%2BUH0gERJZ4LTmptiOyHUsT5CkhwL0mrQY%3D&se=2026-09-16T06%3A03%3A05Z&sp=r,20,20 - שלי רחובות- הרצל,314.59 KB,9/16/2026 3:00:00 AM
PriceFull7290027600007-001-022-20260916-030000.gz,https://pricesprodpublic.blob.core.windows.net/pricefull/PriceFull7290027600007-001-022-20260916-030000.gz?sv=2014-02-14&sr=b&sig=S396CPQZ38kgwzVhxWMRJmclqUgn30Ct92Yt2b8zGqo%3D&se=2026-09-16T06%3A03%3A05Z&sp=r,22,22 - שלי נתניה- סמילנסקי,328.25 KB,9/16/2026 3:00:00 AM
PriceFull7290027600007-001-023-20260916-030000.gz,https://pricesprodpublic.blob.core.windows.net/pricefull/PriceFull7290027600007-001-023-20260916-030000.gz?sv=2014-02-14&sr=b&sig=ODoLNt8Vis2VVl7iO3L2paghomiTkKZE6soc0aNJ3eU%3D&se=2026-09-16T06%3A03%3A05Z&sp=r,23,23 - שלי מיתר,328.01 KB,9/16/2026 3:00:00 AM
PriceFull7290027600007-001-024-20260916-030000.gz,https://pricesprodpublic.blob.core.windows.net/pricefull/PriceFull7290027600007-001-024-20260916-030000.gz?sv=2014-02-14&sr=b&sig=4yZLh21MoxHtmJFAmoiULOLaj4z%2BuoefAwh9hfktY%2Fo%3D&se=2026-09-16T06%3A03%3A05Z&sp=r,24,24 - שלי אשדוד- הנביאים,299.3 KB,9/16/2026 3:00:00 AM
PriceFull7290027600007-001-027-20260916-030000.gz,https://pricesprodpublic.blob.core.windows.net/pricefull/PriceFull7290027600007-001-027-20260916-030000.gz?sv=2014-02-14&sr=b&sig=RaB5vdkPhfYvb9XUxBVGrAdwz8yAaL9vYZXsU0FMbKY%3D&se=2026-09-16T06%3A03%3A05Z&sp=r,27,27 - שלי רעננה- אחוזה,258.07 KB,9/16/2026 3:00:00 AM
PriceFull7290027600007-001-028-20260916-030000.gz,https://pricesprodpublic.blob.core.windows.net/pricefull/PriceFull7290027600007-001-028-20260916-030000.gz?sv=2014-02-14&sr=b&sig=pihBA5pEamTbZiL51cmC7IWw%2BoLEtecJO4y2TTlAp8M%3D&se=2026-09-16T06%3A03%3A05Z&sp=r,28,28 - שלי ת&quot;א- צה&quot;ל,285.17 KB,9/16/2026 3:00:00 AM
PriceFull7290027600007-001-030-20260916-030000.gz,https://pricesprodpublic.blob.core.windows.net/pricefull/PriceFull7290027600007-001-030-20260916-030000.gz?sv=2014-02-14&sr=b&sig=skOIorCKZdHbBSjUtpPMkOWRTjwJMJnpnyyqx9UOlis%3D&se=2026-09-16T06%3A03%3A05Z&sp=r,30,30 - שלי רמת גן- קריניצי,219.12 KB,9/16/2026 3:00:00 AM
PriceFull7290027600007-001-032-20260916-030000.gz,https://pricesprodpublic.blob.core.windows.net/pricefull/PriceFull7290027600007-001-032-20260916-030000.gz?sv=2014-02-14&sr=b&sig=rMC%2F3%2FfYbTbSlQGirHLxASo9HWa2EFDMd0JlRV5sBWE%3D&se=2026-09-16T06%3A03%3A05Z&sp=r,32,32 - שלי רמת גן- קסם,294.34 KB,9/16/2026 3:00:00 AM
PriceFull7290027600007-001-033-20260916-030000.gz,https://pricesprodpublic.blob.core.windows.net/pricefull/PriceFull7290027600007-001-033-20260916-030000.gz?sv=2014-02-14&sr=b&sig=DEvdkFYap6j5BTe7wGB8aKeEIpxjCB355Kvz9us0nnY%3D&se=2026-09-16T06%3A03%3A05Z&sp=r,33,33 - שלי חיפה- סטלה,313.36 KB,9/16/2026 3:00:00 AM
PriceFull7290027600007-001-034-20260916-030000.gz,https://pricesprodpublic.blob.core.windows.net/pricefull/PriceFull7290027600007-001-034-20260916-030000.gz?sv=2014-02-14&sr=b&sig=h2Kx%2BX%2FQFBMoKcvRLOQXskalurX8Jf3s1YbQ7iR2anE%3D&se=2026-09-16T06%3A03%3A05Z&sp=r,34,34 - שלי רמת השרון- סוקולוב,301.44 KB,9/16/2026 3:00:00 AM
PriceFull7290027600007-001-036-20260916-030000.gz,https://pricesprodpublic.blob.core.windows.net/pricefull/PriceFull7290027600007-001-036-20260916-030000.gz?sv=2014-02-14&sr=b&sig=dG%2BDM97oqB9BUo%2Bl5jcosYeVBlF3l%2F6hzBnuHMSupE4%3D&se=2026-09-16T06%3A03%3A24Z&sp=r,36,36 - שלי כ&quot;ס- רוטשילד,293.41 KB,9/16/2026 3:00:00 AM
PriceFull7290027600007-001-038-20260916-030000.gz,https://pricesprodpublic.blob.core.windows.net/pricefull/PriceFull7290027600007-001-038-20260916-030000.gz?sv=2014-02-14&sr=b&sig=doGeouNWBwb68SnvfmABrEH96rbXw%2BhjghSzyQAvBIg%3D&se=2026-09-16T06%3A03%3A24Z&sp=r,38,38 - שלי חיפה- דניה,275.77 KB,9/16/2026 3:00:00 AM
PriceFull7290027600007-001-039-20260916-030000.gz,https://pricesprodpublic.blob.core.windows.net/pricefull/PriceFull7290027600007-001-039-20260916-030000.gz?sv=2014-02-14&sr=b&sig=kRPQmysmBy%2BDXhCI1yqwkZkGFcSw0z2XD4nM%2FpIPSvs%3D&se=2026-09-16T06%3A03%3A24Z&sp=r,39,39 - שלי ת&quot;א- ברזיל,393.84 KB,9/16/2026 3:00:00 AM
PriceFull7290027600007-001-040-20260916-030000.gz,https://pricesprodpublic.blob.core.windows.net/pricefull/PriceFull7290027600007-001-040-20260916-030000.gz?sv=2014-02-14&sr=b&sig=5MQcq6fqs5FbdRxf80SseYUAN41%2FlTfbppiQZC2%2FT28%3D&se=2026-09-16T06%3A03%3A24Z&sp=r,40,40 - שלי ב&quot;ש- עומר,249.16 KB,9/16/2026 3:00:00 AM
PriceFull7290027600007-001-042-20260916-030000.gz,https://pricesprodpublic.blob.core.windows.net/pricefull/PriceFull7290027600007-001-042-20260916-030000.gz?sv=2014-02-14&sr=b&sig=X2KE6lJwEVeGlOp%2FbaCPy5KEvydyaPOtRteRTuJ7FDI%3D&se=2026-09-16T06%3A03%3A24Z&sp=r,42,42 - שלי ירושלים- ניות,321.31 KB,9/16/2026 3:00:00 AM
PriceFull7290027600007-001-043-20260916-030000.gz,https://pricesprodpublic.blob.core.windows.net/pricefull/PriceFull7290027600007-001-043-20260916-030000.gz?sv=2014-02-14&sr=b&sig=bTqKmR1QdYBvG3axAL5t0iwTYr%2B5ANF2TkJfx%2FotX5A%3D&se=2026-09-16T06%3A03%3A24Z&sp=r,43,43 - שלי הוד השרון- הבנים,301.89 KB,9/16/2026 3:00:00 AM
PriceFull7290027600007-001-050-20260916-030000.gz,https://pricesprodpublic.blob.core.windows.net/pricefull/PriceFull7290027600007-001-050-20260916-030000.gz?sv=2014-02-14&sr=b&sig=PnwJeLjpQ70KOb9NQnqMFG2%2FmTTl7ktftFNWAZt0Xws%3D&se=2026-09-16T06%3A03%3A24Z&sp=r,50,50 - שלי מבשרת ציון,310.59 KB,9/16/2026 3:00:00 AM
PriceFull7290027600007-001-057-20260916-030000.gz,https://pricesprodpublic.blob.core.windows.net/pricefull/PriceFull7290027600007-001-057-20260916-030000.gz?sv=2014-02-14&sr=b&sig=ZAYrTxFEHyncODNTzck8j%2FUV3cRLo5l6817b4WrJjL8%3D&se=2026-09-16T06%3A03%3A24Z&sp=r,57,57 - שלי רמת השרון- אוסישקין,330.16 KB,9/16/2026 3:00:00 AM
PriceFull7290027600007-001-069-20260916-030000.gz,https://pricesprodpublic.blob.core.windows.net/pricefull/PriceFull7290027600007-001-069-20260916-030000.gz?sv=2014-02-14&sr=b&sig=gPgPaPvW3YPbxymHRpflYsah2Zar1FYQEJ8w8eQqo0c%3D&se=2026-09-16T06%3A03%3A24Z&sp=r,69,69 - שלי ת&quot;א- רמת אביב ב,377.17 KB,9/16/2026 3:00:00 AM
PriceFull7290027600007-001-070-20260916-030000.gz,https://pricesprodpublic.blob.core.windows.net/pricefull/PriceFull7290027600007-001-070-20260916-030000.gz?sv=2014-02-14&sr=b&sig=XnGrJV6o%2FA1iaEzt%2FwhHeqA%2Fslfc3orIqUiNmUM80WM%3D&se=2026-09-16T06%3A03%3A24Z&sp=r,70,70 - שלי רמת גן- מרום נווה,374.34 KB,9/16/2026 3:00:00 AM
PriceFull7290027600007-001-072-20260916-030000.gz,https://pricesprodpublic.blob.core.windows.net/pricefull/PriceFull7290027600007-001-072-20260916-030000.gz?sv=2014-02-14&sr=b&sig=FksU24qZPAT5qTd0XotAe5O%2BbwDsWgfzoYJeV%2FdZUms%3D&se=2026-09-16T06%3A03%3A24Z&sp=r,72,72 - שלי רעות,373.52 KB,9/16/2026 3:00:00 AM
PriceFull7290027600007-001-080-20260916-030000.gz,https://pricesprodpublic.blob.core.windows.net/pricefull/PriceFull7290027600007-001-080-20260916-030000.gz?sv=2014-02-14&sr=b&sig=MbcQ%2B0XCs5i%2BldhcrtP0YcQgTMYocgBETiiGnlq7OnM%3D&se=2026-09-16T06%3A03%3A24Z&sp=r,80,80 - שלי ראשל&quot;צ- נווה הדרים,324.55 KB,9/16/2026 3:00:00 AM
PriceFull7290027600007-001-093-20260916-030000.gz,https://pricesprodpublic.blob.core.windows.net/pricefull/PriceFull7290027600007-001-093-20260916-030000.gz?sv=2014-02-14&sr=b&sig=Z%2FddO5lhRiyDSZDWLhhprtYlXzjXvH1SXG1qfV9nTMw%3D&se=2026-09-16T06%3A03%3A24Z&sp=r,93,93 - שלי יהוד- סביונים,322.91 KB,9/16/2026 3:00:00 AM
PriceFull7290027600007-001-101-20260916-030000.gz,https://pricesprodpublic.blob.core.windows.net/pricefull/PriceFull7290027600007-001-101-20260916-030000.gz?sv=2014-02-14&sr=b&sig=GKTZdguPzqGyb%2BpDBRuQDFJoGLYwtEXZBbmP3OLkblg%3D&se=2026-09-16T06%3A03%3A24Z&sp=r,101,101 - שלי הוד השרון- ק מרגלית,375.74 KB,9/16/2026 3:00:00 AM
PriceFull7290027600007-001-102-20260916-030000.gz,https://pricesprodpublic.blob.core.windows.net/pricefull/PriceFull7290027600007-001-102-20260916-030000.gz?sv=2014-02-14&sr=b&sig=0IBSMt%2FdQE6G%2B3blc9hPbs6dXq8irC5uceWQ98%2BWh%2FA%3D&se=2026-09-16T06%3A03%3A24Z&sp=r,102,102 - שלי פרדסיה- הנשיא,299.81 KB,9/16/2026 3:00:00 AM
PriceFull7290027600007-001-103-20260916-030000.gz,https://pricesprodpublic.blob.core.windows.net/pricefull/PriceFull7290027600007-001-103-20260916-030000.gz?sv=2014-02-14&sr=b&sig=kHAnCcBpl1xB9vVz953HSoEIYrpEnD%2FzSU2VWADxyr4%3D&se=2026-09-16T06%3A03%3A24Z&sp=r,103,103 - שלי שוהם- מרכז מסחרי,376.02 KB,9/16/2026 3:00:00 AM
PriceFull7290027600007-001-104-20260916-030000.gz,https://pricesprodpublic.blob.core.windows.net/pricefull/PriceFull7290027600007-001-104-20260916-030000.gz?sv=2014-02-14&sr=b&sig=anrNU7Pm3bvFq9ZlgQHHElzO4lfIheN9EcHKwPCU%2Bq4%3D&se=2026-09-16T06%3A03%3A24Z&sp=r,104,104 - שלי פ&quot;ת- גד מכנס,307.94 KB,9/16/2026 3:00:00 AM
PriceFull7290027600007-001-109-20260916-030000.gz,https://pricesprodpublic.blob.core.windows.net/pricefull/PriceFull7290027600007-001-109-20260916-030000.gz?sv=2014-02-14&sr=b&sig=PEabyIyUsf6Dgriq1AD%2FsOqIToGRjEezADL4kN7sapQ%3D&se=2026-09-16T06%3A03%3A24Z&sp=r,109,109 - שלי ראש העין- ז&#39;בוטינסקי,387.3 KB,9/16/2026 3:00:00 AM
PriceFull7290027600007-001-116-20260916-030000.gz,https://pricesprodpublic.blob.core.windows.net/pricefull/PriceFull7290027600007-001-116-20260916-030000.gz?sv=2014-02-14&sr=b&sig=YCXfvMhRoxifopeevsS9%2B88XT6qFOFriaeDFJ5ipUb8%3D&se=2026-09-16T06%3A03%3A24Z&sp=r,116,116 - שלי גבעתיים- מכתש,361.67 KB,9/16/2026 3:00:00 AM
PriceFull7290027600007-001-117-20260916-030000.gz,https://pricesprodpublic.blob.core.windows.net/pricefull/PriceFull7290027600007-001-117-20260916-030000.gz?sv=2014-02-14&sr=b&sig=eBPN8s9Q9h6PkZXHanT7tncc0Uxl4viggwsU%2BY39vY8%3D&se=2026-09-16T06%3A03%3A24Z&sp=r,117,117 - שלי תל אביב-איכילוב,367.62 KB,9/16/2026 3:00:00 AM
PriceFull7290027600007-001-164-20260916-030000.gz,https://pricesprodpublic.blob.core.windows.net/pricefull/PriceFull7290027600007-001-164-20260916-030000.gz?sv=2014-02-14&sr=b&sig=B0UnB7q7TXwBXtq6gG3%2B%2Fptzsq4wwdWc7SiN736%2F8wA%3D&se=2026-09-16T06%3A03%3A43Z&sp=r,164,164 - שלי רמת גן- ביאליק,280.04 KB,9/16/2026 3:00:00 AM
PriceFull7290027600007-001-168-20260916-030000.gz,https://pricesprodpublic.blob.core.windows.net/pricefull/PriceFull7290027600007-001-168-20260916-030000.gz?sv=2014-02-14&sr=b&sig=cLPN4UPejWGSQlmnRldSsuQ%2Fb64bH6pjL3K%2FkribV0g%3D&se=2026-09-16T06%3A03%3A43Z&sp=r,168,168 - שלי אשדוד- כינרת,326.37 KB,9/16/2026 3:00:00 AM
PriceFull7290027600007-001-193-20260712-030000.gz,https://pricesprodpublic.blob.core.windows.net/pricefull/PriceFull7290027600007-001-193-20260712-030000.gz?sv=2014-02-14&sr=b&sig=oJ6luOJcJlyFWGuw1jtN%2Fkce7W9Apyhw5i2sEDg5F5Q%3D&se=2026-09-16T06%3A03%3A43Z&sp=r,193,,299.65 KB,7/12/2026 3:00:00 AM
PriceFull7290027600007-001-212-20260916-030000.gz,https://pricesprodpublic.blob.core.windows.net/pricefull/PriceFull7290027600007-001-212-20260916-030000.gz?sv=2014-02-14&sr=b&sig=6iSmHVKFQNOusnG9mTtqwlphgub0c%2FPj1BUEckUoxvY%3D&se=2026-09-16T06%3A03%3A43Z&sp=r,212,212 - שלי חיפה- ורדיה,286.75 KB,9/16/2026 3:00:00 AM
PriceFull7290027600007-001-216-20260916-030000.gz,https://pricesprodpublic.blob.core.windows.net/pricefull/PriceFull7290027600007-001-216-20260916-030000.gz?sv=2014-02-14&sr=b&sig=WBt4lFx%2BQTdrUF%2FD5bfkpUDrV%2BqhBCbeTyGUTZ7Qing%3D&se=2026-09-16T06%3A03%3A43Z&sp=r,216,216 - שלי הוד השרון,281.67 KB,9/16/2026 3:00:00 AM
PriceFull7290027600007-001-228-20260916-030000.gz,https://pricesprodpublic.blob.core.windows.net/pricefull/PriceFull7290027600007-001-228-20260916-030000.gz?sv=2014-02-14&sr=b&sig=T%2FCQYX0UnFOOMEnQNkjZaukU%2FePcXlm9z3KUnTUwngo%3D&se=2026-09-16T06%3A03%3A43Z&sp=r,228,228 - שלי בנימינה - הגביע,273.51 KB,9/16/2026 3:00:00 AM
PriceFull7290027600007-001-230-20260916-030000.gz,https://pricesprodpublic.blob.core.windows.net/pricefull/PriceFull7290027600007-001-230-20260916-030000.gz?sv=2014-02-14&sr=b&sig=QM7gS%2FWHSYGn78syUsCa8aGsQyiJ%2B%2FXHX0IMFRJp4Ho%3D&se=2026-09-16T06%3A03%3A43Z&sp=r,230,230 - שלי כ&quot;ס- ויצמן,238.24 KB,9/16/2026 3:00:00 AM
PriceFull7290027600007-001-232-20260916-030000.gz,https://pricesprodpublic.blob.core.windows.net/pricefull/PriceFull7290027600007-001-232-20260916-030000.gz?sv=2014-02-14&sr=b&sig=ue%2Blox8lCb1veXmzwmWcokdjOnbP1geXS7z%2Bvn%2BaBn0%3D&se=2026-09-16T06%3A03%3A43Z&sp=r,232,232 - שלי צפת- מ.מסחר רמת רזים,244.41 KB,9/16/2026 3:00:00 AM
PriceFull7290027600007-001-247-20260916-030000.gz,https://pricesprodpublic.blob.core.windows.net/pricefull/PriceFull7290027600007-001-247-20260916-030000.gz?sv=2014-02-14&sr=b&sig=zb94uHpFJzZDyXeqoFyD%2FrORj9Z5rAUQvtfvjQEf%2BqY%3D&se=2026-09-16T06%3A03%3A43Z&sp=r,247,247 - שלי חולון- רבינוביץ,300.71 KB,9/16/2026 3:00:00 AM
PriceFull7290027600007-001-262-20260916-030000.gz,https://pricesprodpublic.blob.core.windows.net/pricefull/PriceFull7290027600007-001-262-20260916-030000.gz?sv=2014-02-14&sr=b&sig=NZ7i944%2BWCjIdqZvbjsZ7bJatSlj0CBni6tbNaSYHG0%3D&se=2026-09-16T06%3A03%3A43Z&sp=r,262,262 - שלי מזכרת בתיה- בגין,309.53 KB,9/16/2026 3:00:00 AM
PriceFull7290027600007-001-266-20260916-030000.gz,https://pricesprodpublic.blob.core.windows.net/pricefull/PriceFull7290027600007-001-266-20260916-030000.gz?sv=2014-02-14&sr=b&sig=TJZ01Hy3UrvE1DGAKCg83lnl3L0uSMB9DpfgpCjxCQQ%3D&se=2026-09-16T06%3A03%3A43Z&sp=r,266,266 - שלי רזין אילת,337.94 KB,9/16/2026 3:00:00 AM
PriceFull7290027600007-001-271-20260916-030000.gz,https://pricesprodpublic.blob.core.windows.net/pricefull/PriceFull7290027600007-001-271-20260916-030000.gz?sv=2014-02-14&sr=b&sig=J0nijc3cKCUhy4ow%2BRwBmMXMsYptuDqha47WvFBra2Q%3D&se=2026-09-16T06%3A03%3A43Z&sp=r,271,271 - שלי רחובות- יעקובי,310.6 KB,9/16/2026 3:00:00 AM
PriceFull7290027600007-001-272-20260916-030000.gz,https://pricesprodpublic.blob.core.windows.net/pricefull/PriceFull7290027600007-001-272-20260916-030000.gz?sv=2014-02-14&sr=b&sig=oukNRE0deo13FLNzaz6pqujudVAwp5MRKXod7s8bxS0%3D&se=2026-09-16T06%3A03%3A43Z&sp=r,272,272 - שלי גבעתיים- ויצמן,303.8 KB,9/16/2026 3:00:00 AM
PriceFull7290027600007-001-278-20260916-030000.gz,https://pricesprodpublic.blob.core.windows.net/pricefull/PriceFull7290027600007-001-278-20260916-030000.gz?sv=2014-02-14&sr=b&sig=5PyWgZwapzc79LooXsVItbal5b392mzkUhR755aiL5Q%3D&se=2026-09-16T06%3A03%3A43Z&sp=r,278,278 - שלי פ&quot;ת -העצמאות,330.7 KB,9/16/2026 3:00:00 AM
PriceFull7290027600007-001-284-20260916-030000.gz,https://pricesprodpublic.blob.core.windows.net/pricefull/PriceFull7290027600007-001-284-20260916-030000.gz?sv=2014-02-14&sr=b&sig=oSQYd%2B%2B%2FIvyZTvi3NiBMzd02Vm2QGi49ROjQKyucWE4%3D&se=2026-09-16T06%3A03%3A43Z&sp=r,284,284 - שלי תל מונד- הדקל,269.42 KB,9/16/2026 3:00:00 AM
PriceFull7290027600007-001-287-20260916-030000.gz,https://pricesprodpublic.blob.core.windows.net/pricefull/PriceFull7290027600007-001-287-20260916-030000.gz?sv=2014-02-14&sr=b&sig=qjapkP6er4y9f8TwlL1XM6i7jZfjaqkIqmmmfWgUKHI%3D&se=2026-09-16T06%3A03%3A43Z&sp=r,287,287 - שלי גבעתיים-שביט,282.56 KB,9/16/2026 3:00:00 AM
PriceFull7290027600007-001-302-20260916-030000.gz,https://pricesprodpublic.blob.core.windows.net/pricefull/PriceFull7290027600007-001-302-20260916-030000.gz?sv=2014-02-14&sr=b&sig=mOA5mB9z%2F4mFtQz1Rk6fDVxYLN7EnCn3VVYr7RfKNVU%3D&se=2026-09-16T06%3A03%3A43Z&sp=r,302,302 - שלי חיפה- קלר,329.24 KB,9/16/2026 3:00:00 AM
PriceFull7290027600007-001-308-20260916-030000.gz,https://pricesprodpublic.blob.core.windows.net/pricefull/PriceFull7290027600007-001-308-20260916-030000.gz?sv=2014-02-14&sr=b&sig=aojqHVB5tU8zFPuSZIftFhA9FC4o5CMDNCzW6YeyaHQ%3D&se=2026-09-16T06%3A03%3A43Z&sp=r,308,308 - שלי קרית אתא- איינשטין,269.8 KB,9/16/2026 3:00:00 AM
PriceFull7290027600007-001-310-20260916-030000.gz,https://pricesprodpublic.blob.core.windows.net/pricefull/PriceFull7290027600007-001-310-20260916-030000.gz?sv=2014-02-14&sr=b&sig=9Z9SgkXNdSHexbvA6rItpuIyxhGZQNL2HQvcbbmjOB4%3D&se=2026-09-16T06%3A03%3A43Z&sp=r,310,310 - שלי קרית חיים- דגניה,211.8 KB,9/16/2026 3:00:00 AM
PriceFull7290027600007-001-313-20260916-030000.gz,https://pricesprodpublic.blob.core.windows.net/pricefull/PriceFull7290027600007-001-313-20260916-030000.gz?sv=2014-02-14&sr=b&sig=wJ89KAAh2g7xy%2BEJPMFwHLD9jqtZerA2jMPg1RicdrU%3D&se=2026-09-16T06%3A03%3A43Z&sp=r,313,313 - שלי קרית חיים-אח&quot;י אילת,294.98 KB,9/16/2026 3:00:00 AM
PriceFull7290027600007-001-316-20260916-030000.gz,https://pricesprodpublic.blob.core.windows.net/pricefull/PriceFull7290027600007-001-316-20260916-030000.gz?sv=2014-02-14&sr=b&sig=vQZG7zVrAqxtjAE%2FTccuFZz54si77%2FBz0oaWjHu1M4M%3D&se=2026-09-16T06%3A04%3A04Z&sp=r,316,316 - דיל קרית מוצקין-שד ויצמן,274.15 KB,9/16/2026 3:00:00 AM
PriceFull7290027600007-001-319-20260916-030000.gz,https://pricesprodpublic.blob.core.windows.net/pricefull/PriceFull7290027600007-001-319-20260916-030000.gz?sv=2014-02-14&sr=b&sig=LjugJ8G3JKqFp9RY0Rgxi7VqDeer88Pax7VWfKGqaCU%3D&se=2026-09-16T06%3A04%3A04Z&sp=r,319,319 - שלי עכו- שפירא,282.81 KB,9/16/2026 3:00:00 AM
PriceFull7290027600007-001-326-20260916-030000.gz,https://pricesprodpublic.blob.core.windows.net/pricefull/PriceFull7290027600007-001-326-20260916-030000.gz?sv=2014-02-14&sr=b&sig=IxIkeafb%2BCqxjGK55oRH0qs0nIdhfbGwZkB4BU%2FTrCw%3D&se=2026-09-16T06%3A04%3A04Z&sp=r,326,326 - שלי נהריה- הגעתון,329.88 KB,9/16/2026 3:00:00 AM
PriceFull7290027600007-001-330-20260810-030000.gz,https://pricesprodpublic.blob.core.windows.net/pricefull/PriceFull7290027600007-001-330-20260810-030000.gz?sv=2014-02-14&sr=b&sig=zUGMRaCuBphUGsjfrG%2F4yTN%2Fb%2BErLzrBhwWwHqkSQ%2Bw%3D&se=2026-09-16T06%3A04%3A04Z&sp=r,330,,275.2 KB,8/10/2026 3:00:00 AM
PriceFull7290027600007-001-333-20260916-030000.gz,https://pricesprodpublic.blob.core.windows.net/pricefull/PriceFull7290027600007-001-333-20260916-030000.gz?sv=2014-02-14&sr=b&sig=59Lp080cSysje%2BzrpMTeVOJTk%2Bl9yIttqx9%2FvDDuuGc%3D&se=2026-09-16T06%3A04%3A04Z&sp=r,333,333 - שלי חיפה- אורן,291.79 KB,9/16/2026 3:00:00 AM
PriceFull7290027600007-001-336-20260916-030000.gz,https://pricesprodpublic.blob.core.windows.net/pricefull/PriceFull7290027600007-001-336-20260916-030000.gz?sv=2014-02-14&sr=b&sig=ev%2BJ9%2B65dg4a5Lh9qif%2Bf4DvvHjgaMBpjHKVkcIC7Rc%3D&se=2026-09-16T06%3A04%3A04Z&sp=r,336,336 - שלי חיפה- רמות ספיר,320.56 KB,9/16/2026 3:00:00 AM
